car_no,lap_time,gap,lap_index,lap_time_seconds
10,4:22.383,6.244,1,262.383
10,2:13.427,14.628,2,133.427
10,2:32.648,21.752,3,152.648
10,2:20.998,27.774,4,140.998
10,2:11.855,20.652,5,131.855
10,2:11.529,26.251,6,131.529
10,3:22.485,17.963,7,202.485
10,4:03.035,17.969,8,243.035
10,2:10.903,27.781,9,130.903
10,2:10.629,27.379,10,130.629
10,2:11.258,32.468,11,131.258
10,3:33.878,9.078,12,213.878
10,2:17.516,14.487,13,137.516
2,4:16.640,0.501,1,256.64
2,2:18.348,1.709,2,138.348
2,2:22.188,11.209,3,142.188
2,3:47.443,1 Lap,4,227.44299999999998
2,2:08.848,1 Lap,5,128.848
2,2:08.044,1 Lap,6,128.044
2,2:07.185,1:20.637,7,127.185
2,2:07.980,1:21.427,8,127.98
2,2:22.328,1 Lap,9,142.328
2,2:07.309,1 Lap,10,127.309
2,3:05.145,1:29.529,11,185.145
2,2:09.285,53.592,12,129.285
2,2:05.372,1 Lap,13,125.372
2,2:06.626,1 Lap,14,126.626
2,2:07.762,1 Lap,15,127.762
2,2:07.739,1:52.695,16,127.739
2,2:07.609,1:51.034,17,127.609
2,4:59.352,1 Lap,18,299.352
2,2:40.556,1 Lap,19,160.55599999999998
2,2:08.537,1 Lap,20,128.537
2,2:07.983,1 Lap,21,127.983
2,2:09.544,30.320,22,129.544
2,3:01.270,25.224,23,181.27
2,2:05.883,1:56.434,24,125.883
2,2:04.906,1:54.639,25,124.906
2,2:09.045,2:04.875,26,129.045
2,2:10.052,1 Lap,27,130.052
2,2:09.687,1 Lap,28,129.687
2,2:09.436,1 Lap,29,129.436
2,2:09.301,1 Lap,30,129.301
2,2:15.665,2.398,31,135.665
2,3:35.587,1:40.965,32,215.587
2,2:10.054,1 Lap,33,130.054
2,2:07.785,1 Lap,34,127.785
2,2:08.626,1 Lap,35,128.626
2,2:14.076,1:28.014,36,134.076
2,4:48.163,1 Lap,37,288.163
2,4:55.108,1 Lap,38,295.108
2,2:06.891,1 Lap,39,126.891
2,2:06.970,1 Lap,40,126.97
2,2:10.124,59.394,41,130.124
2,2:08.194,1:02.038,42,128.194
2,2:05.899,1 Lap,43,125.899
2,2:07.162,1 Lap,44,127.162
2,2:07.991,1 Lap,45,127.991
2,2:07.735,1 Lap,46,127.735
2,2:08.176,1:51.034,47,128.176
2,2:07.806,1:50.555,48,127.806
2,2:46.791,1 Lap,49,166.791
2,2:09.092,1 Lap,50,129.092
2,2:09.532,2:09.809,51,129.532
2,2:08.041,2:02.887,52,128.041
2,4:42.430,14.396,53,282.43
2,4:45.350,2.590,54,285.35
2,2:06.154,1:53.955,55,126.154
2,2:08.699,1:55.631,56,128.699
2,2:10.425,2:00.981,57,130.425
2,2:10.455,2:03.742,58,130.455
2,2:11.168,1 Lap,59,131.168
2,2:09.914,1 Lap,60,129.914
2,2:10.710,1 Lap,61,130.71
2,2:10.401,1 Lap,62,130.401
2,3:32.307,2.409,63,212.30700000000002
2,4:03.492,2.872,64,243.492
2,2:20.614,1:55.649,65,140.614
2,2:12.509,1:58.785,66,132.50900000000001
2,2:07.784,1 Lap,67,127.784
2,2:07.067,1 Lap,68,127.06700000000001
2,2:14.883,2:19.666,69,134.883
2,2:09.511,2:00.887,70,129.511
2,3:08.042,1 Lap,71,188.042
2,2:08.020,1 Lap,72,128.02
2,3:31.434,1 Lap,73,211.434
2,2:53.642,1 Lap,74,173.642
2,2:06.950,1 Lap,75,126.95
2,2:08.345,1 Lap,76,128.345
2,2:07.942,1:04.390,77,127.94200000000001
2,2:09.495,1 Lap,78,129.495
2,2:07.457,1 Lap,79,127.457
2,2:08.341,1 Lap,80,128.341
2,2:15.389,1:56.593,81,135.389
2,2:06.454,1 Lap,82,126.454
2,2:07.260,1 Lap,83,127.26
2,2:08.187,1:45.191,84,128.187
2,2:07.213,1:43.252,85,127.213
2,3:19.296,2.674,86,199.296
2,2:07.842,1:56.339,87,127.842
2,2:09.367,1:58.529,88,129.367
2,2:09.151,1:58.162,89,129.151
2,2:08.467,1:00.573,90,128.467
2,2:10.990,1 Lap,91,130.99
2,2:10.448,1 Lap,92,130.448
2,2:09.248,1 Lap,93,129.248
2,2:11.567,1 Lap,94,131.567
2,2:08.885,1:56.639,95,128.885
2,2:07.962,1 Lap,96,127.962
2,2:10.989,1:23.696,97,130.989
2,2:09.016,1:22.037,98,129.016
2,2:07.792,1 Lap,99,127.792
2,2:09.966,1 Lap,100,129.966
2,2:07.051,2:09.764,101,127.051
2,2:08.446,2:03.654,102,128.446
2,2:14.695,1:12.216,103,134.695
2,2:07.903,1 Lap,104,127.903
2,2:07.383,1 Lap,105,127.383
2,2:07.922,1 Lap,106,127.922
2,3:16.236,3:41.711,107,196.236
2,3:44.415,1 Lap,108,224.415
2,2:43.669,1 Lap,109,163.66899999999998
2,2:06.987,1 Lap,110,126.987
2,2:07.098,1:34.515,111,127.098
2,2:07.471,24.821,112,127.471
2,2:59.585,11.521,113,179.585
2,2:10.242,2:01.101,114,130.242
2,2:08.841,2:01.044,115,128.841
2,2:18.382,1:14.403,116,138.382
2,2:56.796,2:05.638,117,176.796
2,2:09.466,1 Lap,118,129.466
2,2:09.393,1 Lap,119,129.393
2,3:39.638,1.101,120,219.638
2,2:13.313,2.307,121,133.313
2,2:07.465,1:57.935,122,127.465
2,2:15.712,2:07.380,123,135.712
2,2:08.995,1 Lap,124,128.995
2,2:08.672,1 Lap,125,128.672
2,2:08.405,1:21.626,126,128.405
2,2:07.445,1 Lap,127,127.445
2,2:08.928,1 Lap,128,128.928
2,2:07.795,1 Lap,129,127.795
2,2:10.549,1 Lap,130,130.549
2,4:20.854,3:52.261,131,260.854
2,3:33.642,1 Lap,132,213.642
2,2:06.982,1 Lap,133,126.982
2,2:07.604,1 Lap,134,127.604
2,2:07.924,1 Lap,135,127.924
2,2:07.396,1:53.911,136,127.396
2,4:23.470,1 Lap,137,263.47
2,2:07.378,1 Lap,138,127.378
2,2:07.979,1 Lap,139,127.979
2,2:09.418,27.318,140,129.418
2,3:46.359,1:52.086,141,226.359
2,2:10.885,1:57.022,142,130.885
2,2:09.351,2:01.808,143,129.351
2,2:09.075,2:03.298,144,129.075
2,2:11.131,1 Lap,145,131.131
2,2:09.315,1 Lap,146,129.315
21,4:29.851,13.712,1,269.851
21,2:24.349,29.822,2,144.349
21,2:21.224,37.760,3,141.224
21,3:21.574,1 Lap,4,201.574
21,2:56.472,1 Lap,5,176.472
21,2:22.225,2 Laps,6,142.225
21,2:22.823,3 Laps,7,142.823
21,2:34.273,4 Laps,8,154.273
21,4:49.808,4 Laps,9,289.808
21,2:21.250,3 Laps,10,141.25
21,2:21.497,3 Laps,11,141.497
21,2:19.512,4 Laps,12,139.512
21,2:19.495,4 Laps,13,139.495
21,2:19.845,5 Laps,14,139.845
21,2:19.995,5 Laps,15,139.995
21,2:20.063,5 Laps,16,140.063
21,2:19.212,6 Laps,17,139.212
21,2:19.221,6 Laps,18,139.221
21,2:25.326,6 Laps,19,145.326
21,2:36.822,6 Laps,20,156.822
21,2:29.329,6 Laps,21,149.329
21,3:37.575,7 Laps,22,217.575
21,2:20.276,7 Laps,23,140.276
21,2:53.774,7 Laps,24,173.774
21,2:18.375,6 Laps,25,138.375
21,2:17.934,6 Laps,26,137.934
21,2:19.178,7 Laps,27,139.178
21,2:19.205,8 Laps,28,139.20499999999998
21,2:19.008,8 Laps,29,139.008
21,2:19.233,8 Laps,30,139.233
21,2:42.013,38.585,31,162.013
21,2:28.791,52.400,32,148.791
21,2:20.828,52.757,33,140.828
21,2:20.434,1 Lap,34,140.434
21,2:27.671,2 Laps,35,147.671
21,2:20.551,3 Laps,36,140.551
21,2:21.240,3 Laps,37,141.24
21,3:20.790,3 Laps,38,200.79
21,2:21.108,3 Laps,39,141.108
21,2:18.154,4 Laps,40,138.154
21,2:18.370,4 Laps,41,138.37
21,2:19.679,5 Laps,42,139.679
21,2:26.471,6 Laps,43,146.471
21,2:18.837,7 Laps,44,138.837
21,2:19.853,7 Laps,45,139.853
21,2:42.185,6 Laps,46,162.185
21,2:22.580,7 Laps,47,142.57999999999998
21,4:41.846,7 Laps,48,281.846
21,3:06.883,6 Laps,49,186.883
21,2:18.623,6 Laps,50,138.623
21,2:19.573,6 Laps,51,139.573
21,2:17.175,8 Laps,52,137.175
